Transaction_ID,Settlement_Amount,Settlement_Date,Settlement_Status
TXN100000,3712.18,2025-05-12,Settled
TXN100001,1804.42,2025-05-10,Settled
TXN100002,2357.07,2025-01-18,"In Progress"
TXN100003,367.86,2025-01-26,Settled
TXN100004,3005.60,2025-04-09,Settled
TXN100005,1814.22,2025-04-17,Failed
TXN100006,2195.94,2025-02-20,Settled
TXN100007,2141.87,2025-05-11,Settled
TXN100008,3180.43,2025-01-07,Settled
TXN100009,2883.70,2025-02-18,Settled
TXN100010,2139.42,2025-02-12,Settled
TXN100011,133.93,2025-01-04,Settled
TXN100012,3123.76,2025-01-18,Settled
TXN100013,4403.91,2025-05-31,Settled
TXN100014,3859.28,2025-04-05,Settled
TXN100015,4909.00,2025-06-06,Settled
TXN100016,738.42,2025-03-28,Settled
TXN100017,1151.47,2025-02-06,Settled
TXN100018,2719.37,2025-03-24,Settled
TXN100019,1217.61,2025-05-04,Settled
TXN100020,221.02,2025-05-29,Settled
TXN100021,2041.33,2025-04-05,Settled
TXN100022,1473.84,2025-04-12,Settled
TXN100023,1355.62,2025-03-08,Settled
TXN100024,4768.21,2025-06-24,Settled
TXN100025,1230.35,2025-05-27,"In Progress"
TXN100026,690.69,2025-02-20,Settled
TXN100027,670.33,2025-05-21,Settled
TXN100028,4041.30,2025-03-30,Settled
TXN100029,3588.50,2025-05-25,Settled
TXN100030,690.96,2025-01-11,Settled
TXN100031,1137.78,2025-01-05,Settled
TXN100032,3749.35,2025-06-02,Settled
TXN100033,1401.09,2025-06-25,Settled
TXN100034,4908.63,2025-05-18,Settled
TXN100035,2725.82,2025-01-10,Settled
TXN100036,1000.44,2025-05-22,Settled
TXN100037,4301.10,2025-06-05,Settled
TXN100038,1631.40,2025-05-01,Settled
TXN100039,1479.60,2025-02-03,Settled
TXN100040,1670.83,2025-06-28,Failed
TXN100041,3852.58,2025-03-30,Settled
TXN100042,907.40,2025-06-27,Settled
TXN100043,1939.84,2025-02-02,Settled
TXN100044,202.62,2025-01-28,Settled
TXN100045,4141.80,2025-04-06,Settled
TXN100046,1736.56,2025-06-06,Settled
TXN100047,1278.46,2025-04-07,Failed
TXN100048,2920.47,2025-02-10,Settled
TXN100049,3539.71,2025-05-13,Settled
TXN100050,4073.84,2025-06-19,Settled
TXN100051,1771.54,2025-05-21,Settled
TXN100052,4070.89,2025-04-27,Settled
TXN100053,2351.16,2025-05-03,Settled
TXN100054,550.65,2025-06-07,Settled
TXN100055,4239.22,2025-06-03,Settled
TXN100056,2760.79,2025-05-13,Settled
TXN100058,4690.58,2025-03-11,Settled
TXN100059,2817.80,2025-06-14,Settled
TXN100060,77.64,2025-02-19,Settled
TXN100061,4359.55,2025-04-06,Settled
TXN100062,1459.52,2025-06-19,Settled
TXN100063,2533.75,2025-06-22,Settled
TXN100064,1064.19,2025-01-18,Settled
TXN100065,1520.07,2025-05-09,Settled
TXN100066,3448.91,2025-02-16,Settled
TXN100067,2176.39,2025-06-25,Failed
TXN100068,3154.30,2025-03-01,Settled
TXN100069,4126.70,2025-01-10,Failed
TXN100070,1737.07,2025-03-07,Settled
TXN100071,2863.28,2025-03-06,Settled
TXN100072,3899.06,2025-01-30,Settled
TXN100073,3589.86,2025-05-15,"In Progress"
TXN100074,2722.23,2025-03-04,Settled
TXN100075,1947.75,2025-03-14,Settled
TXN100076,2067.13,2025-05-12,Settled
TXN100077,2194.02,2025-03-03,Settled
TXN100078,1776.79,2025-02-08,Failed
TXN100079,3510.42,2025-03-14,Settled
TXN100080,670.81,2025-06-06,Settled
TXN100082,3905.98,2025-06-14,Settled
TXN100083,1525.91,2025-05-26,Settled
TXN100084,260.61,2025-05-19,Settled
TXN100085,3570.95,2025-04-15,Settled
TXN100086,3685.08,2025-06-09,Settled
TXN100087,4819.93,2025-02-07,Settled
TXN100088,1305.84,2025-02-14,Settled
TXN100089,459.49,2025-04-21,Settled
TXN100090,4579.92,2025-05-13,Settled
TXN100091,1330.31,2025-03-08,"In Progress"
TXN100092,3621.58,2025-02-09,"In Progress"
TXN100093,350.27,2025-04-28,Settled
TXN100094,3814.89,2025-05-31,Settled
TXN100095,678.78,2025-04-05,Settled
TXN100096,3493.15,2025-02-02,Settled
TXN100097,2685.10,2025-05-30,Settled
TXN100098,4779.67,2025-04-20,Settled
TXN100099,232.74,2025-03-18,Settled
TXN100100,1495.64,2025-03-17,Settled
TXN100101,394.07,2025-02-15,Settled
TXN100102,4402.03,2025-04-18,Settled
TXN100103,2989.81,2025-05-17,Settled
TXN100104,2698.10,2025-01-05,"In Progress"
TXN100105,700.72,2025-04-27,Settled
TXN100106,2470.71,2025-04-14,Settled
TXN100107,2023.58,2025-04-09,Settled
TXN100108,1612.97,2025-02-13,Failed
TXN100109,3872.34,2025-03-04,Settled
TXN100110,353.32,2025-01-04,Settled
TXN100111,3251.09,2025-04-23,Settled
TXN100112,4123.82,2025-06-03,Settled
TXN100113,4541.17,2025-02-18,Settled
TXN100114,3742.29,2025-05-16,Settled
TXN100115,1448.16,2025-06-05,Settled
TXN100116,3022.51,2025-01-28,Settled
TXN100117,749.95,2025-02-22,Settled
TXN100118,629.45,2025-04-04,Settled
TXN100119,3211.19,2025-06-03,Settled
TXN100120,4262.98,2025-06-22,Settled
TXN100121,382.88,2025-01-07,Settled
TXN100122,574.72,2025-01-10,Settled
TXN100123,2849.76,2025-01-08,Settled
TXN100124,1130.15,2025-01-16,Settled
TXN100125,3078.50,2025-01-07,Settled
TXN100126,1111.99,2025-05-05,Settled
TXN100127,624.59,2025-01-15,Settled
TXN100128,2750.60,2025-06-17,Settled
TXN100129,4317.87,2025-03-07,Settled
TXN100130,3441.35,2025-02-17,Settled
TXN100131,4102.69,2025-06-18,Settled
TXN100132,1368.36,2025-05-27,Settled
TXN100133,4435.59,2025-05-11,Settled
TXN100134,1916.34,2025-02-14,Settled
TXN100135,4269.62,2025-01-18,Settled
TXN100136,2382.32,2025-06-26,"In Progress"
TXN100137,1375.90,2025-03-10,"In Progress"
TXN100138,1338.28,2025-04-23,Settled
TXN100139,2859.96,2025-03-11,Settled
TXN100140,441.10,2025-03-06,Failed
TXN100141,4653.78,2025-06-19,Settled
TXN100142,1393.74,2025-05-14,Failed
TXN100143,1711.34,2025-06-29,Settled
TXN100144,1204.84,2025-03-15,"In Progress"
TXN100145,64.89,2025-04-12,Settled
TXN100146,3478.12,2025-04-24,Settled
TXN100147,2973.24,2025-01-10,Failed
TXN100148,4057.74,2025-04-12,Settled
TXN100149,253.00,2025-04-30,Settled
TXN100150,4646.85,2025-02-01,Settled
TXN100151,1687.89,2025-01-25,Settled
TXN100153,580.30,2025-06-04,Settled
TXN100154,3732.41,2025-01-23,Settled
TXN100155,2917.82,2025-03-17,Settled
TXN100156,1823.05,2025-01-17,Settled
TXN100157,441.75,2025-02-04,Settled
TXN100158,3043.45,2025-04-06,Settled
TXN100159,180.88,2025-01-26,Settled
TXN100160,2531.35,2025-05-17,Settled
TXN100161,3040.83,2025-05-12,Settled
TXN100162,3675.99,2025-04-14,Settled
TXN100163,4957.11,2025-04-17,Settled
TXN100164,1337.46,2025-05-25,Settled
TXN100165,1645.83,2025-01-08,Settled
TXN100166,1738.67,2025-02-04,Settled
TXN100167,3671.33,2025-05-21,Settled
TXN100168,4662.51,2025-01-04,Settled
TXN100169,4872.90,2025-06-01,Settled
TXN100170,4731.77,2025-02-08,Settled
TXN100171,4402.95,2025-04-22,Settled
TXN100172,4969.17,2025-04-12,Settled
TXN100173,1910.93,2025-02-11,Settled
TXN100175,3806.01,2025-03-11,Settled
TXN100176,883.88,2025-02-27,Settled
TXN100177,275.05,2025-01-12,Settled
TXN100178,1111.70,2025-06-06,Settled
TXN100179,3904.82,2025-02-01,Settled
TXN100180,3176.90,2025-06-26,Settled
TXN100181,1160.56,2025-01-09,Settled
