Transaction_ID,Customer_ID,Transaction_Date,Amount,Transaction_Status,Payment_Method
TXN100000,8270,2025-05-30,3712.18,Completed,UPI
TXN100001,1860,2025-06-01,1804.42,Pending,Wallet
TXN100002,6390,2025-02-07,2357.07,Completed,Wallet
TXN100003,6191,2025-05-10,367.86,Completed,Card
TXN100004,6734,2025-05-05,3005.6,Completed,Wallet
TXN100005,7265,2025-02-10,1814.22,Processed,NetBanking
TXN100006,1466,2025-01-19,2195.94,Pending,UPI
TXN100007,5426,2025-04-15,2141.87,Completed,NetBanking
TXN100008,6578,2025-05-10,3180.43,Completed,Wallet
TXN100009,9322,2025-04-02,2883.7,Completed,Card
TXN100010,2685,2025-04-06,2139.42,Completed,UPI
TXN100011,1769,2025-03-03,133.93,Completed,Wallet
TXN100012,7949,2025-01-16,3123.76,Completed,Wallet
TXN100013,3433,2025-04-04,4403.91,Completed,Wallet
TXN100014,6311,2025-05-30,3859.28,Completed,UPI
TXN100015,6051,2025-05-22,4909.0,Completed,NetBanking
TXN100016,7420,2025-04-26,738.42,Completed,NetBanking
TXN100017,2184,2025-02-25,1151.47,Completed,Wallet
TXN100018,5555,2025-03-06,2719.37,Pending,Wallet
TXN100019,4385,2025-06-22,1217.61,Completed,Card
TXN100020,7396,2025-02-23,221.02,Completed,UPI
TXN100021,9666,2025-03-27,2041.33,Completed,Card
TXN100022,3558,2025-06-23,1473.84,Completed,UPI
TXN100023,8849,2025-06-10,1355.62,Completed,Wallet
TXN100024,3047,2025-02-19,4768.21,Pending,UPI
TXN100025,3747,2025-04-15,1230.35,Completed,Wallet
TXN100026,1189,2025-01-22,690.69,Completed,Wallet
TXN100027,3734,2025-02-09,670.33,Completed,NetBanking
TXN100028,4005,2025-02-08,4041.3,Completed,Wallet
TXN100029,5658,2025-04-15,3588.5,Pending,Wallet
TXN100030,2899,2025-06-18,690.96,Completed,Wallet
TXN100031,8734,2025-03-09,1137.78,Completed,NetBanking
TXN100032,2267,2025-01-07,3749.35,Completed,UPI
TXN100033,2528,2025-03-26,1409.35,Completed,UPI
TXN100034,4556,2025-05-12,4908.63,Pending,UPI
TXN100035,4890,2025-03-17,2725.82,Processed,Wallet
TXN100036,9838,2025-04-01,1000.44,Completed,Card
TXN100037,6393,2025-03-25,4301.1,Processed,UPI
TXN100038,9792,2025-06-03,1631.4,Completed,NetBanking
TXN100039,9433,2025-01-31,1479.6,Completed,UPI
TXN100040,8513,2025-04-09,1670.83,Completed,Wallet
TXN100041,3612,2025-02-21,3852.58,Pending,NetBanking
TXN100042,8041,2025-04-22,907.4,Completed,Wallet
TXN100043,7235,2025-03-13,1939.84,Completed,Card
TXN100044,6486,2025-01-21,202.62,Completed,Card
TXN100045,8099,2025-01-16,4141.8,Pending,Card
TXN100046,1775,2025-06-28,1736.56,Completed,Card
TXN100047,9226,2025-01-16,1278.46,Completed,UPI
TXN100048,4152,2025-05-26,2920.47,Completed,NetBanking
TXN100049,2585,2025-06-24,3539.71,Completed,Wallet
TXN100050,4943,2025-02-25,4073.84,Completed,Wallet
TXN100051,8555,2025-06-05,1771.54,Completed,Wallet
TXN100052,4073,2025-03-23,4070.89,Completed,NetBanking
TXN100053,2021,2025-03-19,2351.16,Completed,Card
TXN100054,4843,2025-02-06,550.65,Completed,NetBanking
TXN100055,8989,2025-05-24,4239.22,Processed,Card
TXN100056,7873,2025-03-01,2760.79,Completed,NetBanking
TXN100057,6675,2025-01-11,3032.22,Completed,Card
TXN100058,1161,2025-05-06,4690.58,Completed,NetBanking
TXN100059,5297,2025-03-07,2817.8,Completed,UPI
TXN100060,1995,2025-05-06,77.64,Completed,UPI
TXN100061,8629,2025-02-01,4359.55,Completed,UPI
TXN100062,2016,2025-05-27,1459.52,Completed,UPI
TXN100063,8869,2025-02-25,2533.75,Completed,Card
TXN100064,7439,2025-01-05,1064.19,Completed,NetBanking
TXN100065,8892,2025-05-11,1520.07,Completed,NetBanking
TXN100066,7863,2025-06-05,3448.91,Pending,Wallet
TXN100067,8916,2025-03-31,2176.39,Completed,Wallet
TXN100068,9529,2025-04-04,3154.3,Completed,UPI
TXN100069,1878,2025-03-13,4126.7,Completed,Wallet
TXN100070,5887,2025-04-10,1737.07,Completed,UPI
TXN100071,5859,2025-01-29,2863.28,Processed,Wallet
TXN100072,7331,2025-02-28,3899.06,Completed,UPI
TXN100073,9571,2025-01-25,3589.86,Completed,NetBanking
TXN100074,9684,2025-05-30,2722.23,Pending,Card
TXN100075,8208,2025-04-07,1947.75,Completed,UPI
TXN100076,6276,2025-04-11,2067.13,Completed,Wallet
TXN100077,3062,2025-04-27,2194.02,Processed,Wallet
TXN100078,1064,2025-01-23,1776.79,Completed,Wallet
TXN100079,9006,2025-03-11,3510.42,Completed,UPI
TXN100080,3568,2025-03-20,670.81,Processed,NetBanking
TXN100081,6463,2025-03-20,4838.9,Completed,Card
TXN100082,3027,2025-06-17,3905.98,Pending,Wallet
TXN100083,3695,2025-04-08,1525.91,Completed,Wallet
TXN100084,6258,2025-01-14,260.61,Pending,UPI
TXN100085,6618,2025-01-29,3570.95,Completed,Card
TXN100086,7736,2025-05-24,3685.08,Completed,UPI
TXN100087,1391,2025-03-28,4819.93,Completed,NetBanking
TXN100088,6892,2025-01-10,1305.84,Completed,Card
TXN100089,4561,2025-02-16,459.49,Completed,NetBanking
